MODEL_BRAND,Key_mat_1,Plant_1,Mat_1,Key_mat_2,Plant_2,Mat_2
6218_SKF,7560_75060624118999,7560,75060624118999,PO11_PO06131330895,PO11,PO06131330895
6218_SKF,7560_75060624118999,7560,75060624118999,7511_75060621637000,7511,75060621637000
6218_SKF,PO11_PO06131330895,PO11,PO06131330895,7511_75060621637000,7511,75060621637000
6024-2Z_SKF,7560_75060622624225,7560,75060622624225,PO11_PO06131330907,PO11,PO06131330907
6205-2Z/C3_SKF,7560_75060624705999,7560,75060624705999,PO11_PO06131330910,PO11,PO06131330910
6205-2Z/C3_SKF,7560_75060624705999,7560,75060624705999,7511_75060621915340,7511,75060621915340
6205-2Z/C3_SKF,7560_75060624705999,7560,75060624705999,PO21_PO06131330971,PO21,PO06131330971
6205-2Z/C3_SKF,PO11_PO06131330910,PO11,PO06131330910,7511_75060621915340,7511,75060621915340
6205-2Z/C3_SKF,PO11_PO06131330910,PO11,PO06131330910,PO21_PO06131330971,PO21,PO06131330971
6205-2Z/C3_SKF,7511_75060621915340,7511,75060621915340,PO21_PO06131330971,PO21,PO06131330971
6305-2RS1_SKF,7560_75060625605999,7560,75060625605999,PO11_PO06131330917,PO11,PO06131330917
6305-2RS1_SKF,7560_75060625605999,7560,75060625605999,7511_75060622307000,7511,75060622307000
6305-2RS1_SKF,PO11_PO06131330917,PO11,PO06131330917,7511_75060622307000,7511,75060622307000
6214-Z/C3_SKF,7813_78060622874000,7813,78060622874000,PO11_PO06131330919,PO11,PO06131330919
6310-2RS1/C3_SKF,7560_75060626310999,7560,75060626310999,PO11_PO06131330928,PO11,PO06131330928
6308-2RS1_SKF,7560_75060626308999,7560,75060626308999,PO11_PO06131330938,PO11,PO06131330938
6002-2Z_SKF,7560_75060622602999,7560,75060622602999,PO11_PO06131330942,PO11,PO06131330942
6205-2RSH/C3_SKF,7560_75060625105999,7560,75060625105999,PO11_PO06131330945,PO11,PO06131330945
7314 BECBP_SKF,7560_75060606314212,7560,75060606314212,PO11_PO06131330955,PO11,PO06131330955
6226/C3_SKF,7560_75060624426152,7560,75060624426152,PO11_PO06131330957,PO11,PO06131330957
6203-2Z_SKF,7560_75060624303999,7560,75060624303999,PO11_PO06131330965,PO11,PO06131330965
6203-2Z_SKF,7560_75060624303999,7560,75060624303999,7511_75060621903000,7511,75060621903000
6203-2Z_SKF,7560_75060624303999,7560,75060624303999,PO21_PO06131330833,PO21,PO06131330833
6203-2Z_SKF,PO11_PO06131330965,PO11,PO06131330965,7511_75060621903000,7511,75060621903000
6203-2Z_SKF,PO11_PO06131330965,PO11,PO06131330965,PO21_PO06131330833,PO21,PO06131330833
6203-2Z_SKF,7511_75060621903000,7511,75060621903000,PO21_PO06131330833,PO21,PO06131330833
NU 218 ECP_SKF,7560_75060612218152,7560,75060612218152,PO11_PO06131331526,PO11,PO06131331526
NU 218 ECP_SKF,7560_75060612218152,7560,75060612218152,PO21_PO06131331604,PO21,PO06131331604
NU 218 ECP_SKF,PO11_PO06131331526,PO11,PO06131331526,PO21_PO06131331604,PO21,PO06131331604
NU 306 ECP_SKF,7560_75060612306999,7560,75060612306999,PO11_PO06131331532,PO11,PO06131331532
NU 312 ECP_SKF,7560_75060612312243,7560,75060612312243,PO11_PO06131331535,PO11,PO06131331535
NU 313 ECP_SKF,7560_75060612313201,7560,75060612313201,PO11_PO06131331538,PO11,PO06131331538
NU 317 ECP_SKF,7560_75060612317999,7560,75060612317999,PO11_PO06131331541,PO11,PO06131331541
NU 322 ECP_SKF,7560_75060613422318,7560,75060613422318,PO11_PO06131331545,PO11,PO06131331545
NU 322 ECP_SKF,7560_75060613422318,7560,75060613422318,PO21_PO06131331606,PO21,PO06131331606
NU 322 ECP_SKF,PO11_PO06131331545,PO11,PO06131331545,PO21_PO06131331606,PO21,PO06131331606
NU 217 ECP_SKF,7560_75060612217245,7560,75060612217245,PO11_PO06131331546,PO11,PO06131331546
NU 1014 ML_SKF,7560_75060611014224,7560,75060611014224,PO11_PO06131331551,PO11,PO06131331551
NUP 207 ECP_SKF,7813_78060614052153,7813,78060614052153,PO11_PO06131331568,PO11,PO06131331568
NUP 307 ECP_SKF,7812_78060613307572,7812,78060613307572,PO11_PO06131331569,PO11,PO06131331569
NUP 309 ECP_SKF,7560_75060613309212,7560,75060613309212,PO11_PO06131331570,PO11,PO06131331570
NUP 311 ECP_SKF,7560_75060613311212,7560,75060613311212,PO11_PO06131331572,PO11,PO06131331572
NUP 313 ECP_SKF,7560_75060613313212,7560,75060613313212,PO11_PO06131331574,PO11,PO06131331574
NUP 317 ECP_SKF,7560_75060613317212,7560,75060613317212,PO11_PO06131331577,PO11,PO06131331577
NU 316 ECP_SKF,7560_75060612316999,7560,75060612316999,PO11_PO06131331614,PO11,PO06131331614
21313 E/C3_SKF,7560_75060673713279,7560,75060673713279,PO11_PO06131335001,PO11,PO06131335001
22213 E_SKF,7560_75060673113235,7560,75060673113235,PO11_PO06131335005,PO11,PO06131335005
22209 E_SKF,7560_75060673109102,7560,75060673109102,PO11_PO06131335009,PO11,PO06131335009
22209 E_SKF,7560_75060673109102,7560,75060673109102,7511_75060672209211,7511,75060672209211
22209 E_SKF,PO11_PO06131335009,PO11,PO06131335009,7511_75060672209211,7511,75060672209211
22215 EK_SKF,7813_78060672325000,7813,78060672325000,PO11_PO06131335012,PO11,PO06131335012
22215 EK_SKF,7813_78060672325000,7813,78060672325000,7580_75060674515741,7580,75060674515741
22215 EK_SKF,PO11_PO06131335012,PO11,PO06131335012,7580_75060674515741,7580,75060674515741
22220 E_SKF,7812_78060670120574,7812,78060670120574,PO11_PO06131335025,PO11,PO06131335025
22220 E_SKF,7812_78060670120574,7812,78060670120574,7511_75060672219108,7511,75060672219108
22220 E_SKF,PO11_PO06131335025,PO11,PO06131335025,7511_75060672219108,7511,75060672219108
22212 E_SKF,7560_75060673112141,7560,75060673112141,PO11_PO06131335026,PO11,PO06131335026
22212 E_SKF,7560_75060673112141,7560,75060673112141,7511_75060672212212,7511,75060672212212
22212 E_SKF,7560_75060673112141,7560,75060673112141,PO21_PO06131335112,PO21,PO06131335112
22212 E_SKF,PO11_PO06131335026,PO11,PO06131335026,7511_75060672212212,7511,75060672212212
22212 E_SKF,PO11_PO06131335026,PO11,PO06131335026,PO21_PO06131335112,PO21,PO06131335112
22212 E_SKF,7511_75060672212212,7511,75060672212212,PO21_PO06131335112,PO21,PO06131335112
22220 EK_SKF,7560_75060675920264,7560,75060675920264,PO11_PO06131335027,PO11,PO06131335027
22220 EK_SKF,7560_75060675920264,7560,75060675920264,7511_75060670120795,7511,75060670120795
22220 EK_SKF,7560_75060675920264,7560,75060675920264,PO21_PO06131335024,PO21,PO06131335024
22220 EK_SKF,PO11_PO06131335027,PO11,PO06131335027,7511_75060670120795,7511,75060670120795
22220 EK_SKF,PO11_PO06131335027,PO11,PO06131335027,PO21_PO06131335024,PO21,PO06131335024
22220 EK_SKF,7511_75060670120795,7511,75060670120795,PO21_PO06131335024,PO21,PO06131335024
22228 CC/W33_SKF,7560_75060674528247,7560,75060674528247,PO11_PO06131335032,PO11,PO06131335032
22230 CC/W33_SKF,7560_75060673130221,7560,75060673130221,PO11_PO06131335034,PO11,PO06131335034
22230 CC/W33_SKF,7560_75060673130221,7560,75060673130221,7511_75060672227414,7511,75060672227414
22230 CC/W33_SKF,PO11_PO06131335034,PO11,PO06131335034,7511_75060672227414,7511,75060672227414
22230 CCK/W33_SKF,7560_75060675930221,7560,75060675930221,PO11_PO06131335035,PO11,PO06131335035
22230 CCK/W33_SKF,7560_75060675930221,7560,75060675930221,7511_75060670310212,7511,75060670310212
22230 CCK/W33_SKF,7560_75060675930221,7560,75060675930221,PO21_PO06131335146,PO21,PO06131335146
22230 CCK/W33_SKF,PO11_PO06131335035,PO11,PO06131335035,7511_75060670310212,7511,75060670310212
22230 CCK/W33_SKF,PO11_PO06131335035,PO11,PO06131335035,PO21_PO06131335146,PO21,PO06131335146
22230 CCK/W33_SKF,7511_75060670310212,7511,75060670310212,PO21_PO06131335146,PO21,PO06131335146
22232 CCK/W33_SKF,7560_75060674532224,7560,75060674532224,PO11_PO06131335036,PO11,PO06131335036
22312 E_SKF,7812_78060670212573,7812,78060670212573,PO11_PO06131335040,PO11,PO06131335040
22312 E_SKF,7812_78060670212573,7812,78060670212573,7511_75060672222000,7511,75060672222000
22312 E_SKF,PO11_PO06131335040,PO11,PO06131335040,7511_75060672222000,7511,75060672222000
22315 E_SKF,7560_75060673215242,7560,75060673215242,PO11_PO06131335044,PO11,PO06131335044
22315 E_SKF,7560_75060673215242,7560,75060673215242,7511_75060672245000,7511,75060672245000
22315 E_SKF,PO11_PO06131335044,PO11,PO06131335044,7511_75060672245000,7511,75060672245000
22315 EK_SKF,7812_78060672215591,7812,78060672215591,PO11_PO06131335045,PO11,PO06131335045
22313 E/C3_SKF,7813_78060670674000,7813,78060670674000,PO11_PO06131335046,PO11,PO06131335046
22211 E_SKF,7560_75060673111133,7560,75060673111133,PO11_PO06131335047,PO11,PO06131335047
22211 E_SKF,7560_75060673111133,7560,75060673111133,7511_75060672211413,7511,75060672211413
22211 E_SKF,PO11_PO06131335047,PO11,PO06131335047,7511_75060672211413,7511,75060672211413
22324 CC/C3W33_SKF,7560_75060673924221,7560,75060673924221,PO11_PO06131335053,PO11,PO06131335053
22319 E_SKF,7560_75060673219271,7560,75060673219271,PO11_PO06131335054,PO11,PO06131335054
22319 E_SKF,7560_75060673219271,7560,75060673219271,7511_75060672229000,7511,75060672229000
22319 E_SKF,PO11_PO06131335054,PO11,PO06131335054,7511_75060672229000,7511,75060672229000
22312 E/C3_SKF,7560_75060673912999,7560,75060673912999,PO11_PO06131335057,PO11,PO06131335057
22316 E_SKF,7560_75060673216224,7560,75060673216224,PO11_PO06131335063,PO11,PO06131335063
22316 E_SKF,7560_75060673216224,7560,75060673216224,7511_75060672246000,7511,75060672246000
22316 E_SKF,7560_75060673216224,7560,75060673216224,PO21_PO06131335390,PO21,PO06131335390
22316 E_SKF,PO11_PO06131335063,PO11,PO06131335063,7511_75060672246000,7511,75060672246000
22316 E_SKF,PO11_PO06131335063,PO11,PO06131335063,PO21_PO06131335390,PO21,PO06131335390
22316 E_SKF,7511_75060672246000,7511,75060672246000,PO21_PO06131335390,PO21,PO06131335390
23044 CCK/C4W33_SKF,7811_78060673044945,7811,78060673044945,PO11_PO06131335065,PO11,PO06131335065
23126 CC/W33_SKF,7812_78060670426561,7812,78060670426561,PO11_PO06131335073,PO11,PO06131335073
23234 CC/C3W33_SKF,7813_78060671324257,7813,78060671324257,PO11_PO06131335078,PO11,PO06131335078
23220 CC/W33_SKF,7560_75060673520215,7560,75060673520215,PO11_PO06131335079,PO11,PO06131335079
23220 CC/W33_SKF,7560_75060673520215,7560,75060673520215,7511_75060672286415,7511,75060672286415
23220 CC/W33_SKF,PO11_PO06131335079,PO11,PO06131335079,7511_75060672286415,7511,75060672286415
23226 CCK/W33_SKF,7560_75060676026264,7560,75060676026264,PO11_PO06131335080,PO11,PO06131335080
23228 CCK/W33_SKF,7812_78060672528583,7812,78060672528583,PO11_PO06131335081,PO11,PO06131335081
23244 CCK/W33_SKF,7812_78060672544561,7812,78060672544561,PO11_PO06131335084,PO11,PO06131335084
23244 CCK/W33_SKF,7812_78060672544561,7812,78060672544561,7511_75060672444313,7511,75060672444313
23244 CCK/W33_SKF,PO11_PO06131335084,PO11,PO06131335084,7511_75060672444313,7511,75060672444313
22226 E_SKF,7560_75060674526243,7560,75060674526243,PO11_PO06131335096,PO11,PO06131335096
22226 E_SKF,7560_75060674526243,7560,75060674526243,7511_75060672226133,7511,75060672226133
22226 E_SKF,PO11_PO06131335096,PO11,PO06131335096,7511_75060672226133,7511,75060672226133
29328 E_SKF,7560_75060677600212,7560,75060677600212,PO11_PO06131335145,PO11,PO06131335145
GE 35 ES_SKF,7813_78060672100761,7813,78060672100761,PO11_PO06131335224,PO11,PO06131335224
22224 E_SKF,7812_78060670124561,7812,78060670124561,PO11_PO06131335327,PO11,PO06131335327
22224 E_SKF,7812_78060670124561,7812,78060670124561,7511_75060672224108,7511,75060672224108
22224 E_SKF,7812_78060670124561,7812,78060670124561,PO21_PO06131335334,PO21,PO06131335334
22224 E_SKF,PO11_PO06131335327,PO11,PO06131335327,7511_75060672224108,7511,75060672224108
22224 E_SKF,PO11_PO06131335327,PO11,PO06131335327,PO21_PO06131335334,PO21,PO06131335334
22224 E_SKF,7511_75060672224108,7511,75060672224108,PO21_PO06131335334,PO21,PO06131335334
22224 EK_SKF,7560_75060675924234,7560,75060675924234,PO11_PO06131335328,PO11,PO06131335328
22224 EK_SKF,7560_75060675924234,7560,75060675924234,7511_75060670050796,7511,75060670050796
22224 EK_SKF,PO11_PO06131335328,PO11,PO06131335328,7511_75060670050796,7511,75060670050796
22316 E/C3_SKF,7560_75060673916243,7560,75060673916243,PO11_PO06131335352,PO11,PO06131335352
22316 E/C3_SKF,7560_75060673916243,7560,75060673916243,7511_75060672246465,7511,75060672246465
22316 E/C3_SKF,PO11_PO06131335352,PO11,PO06131335352,7511_75060672246465,7511,75060672246465
22317 E_SKF,7560_75060673217235,7560,75060673217235,PO11_PO06131335353,PO11,PO06131335353
22318 E/C3_SKF,7560_75060673918243,7560,75060673918243,PO11_PO06131335355,PO11,PO06131335355
22326 CCK/C3W33_SKF,7560_75060673926152,7560,75060673926152,PO11_PO06131335360,PO11,PO06131335360
23232 CCK/W33_SKF,7560_75060673532999,7560,75060673532999,PO11_PO06131335370,PO11,PO06131335370
23232 CCK/W33_SKF,7560_75060673532999,7560,75060673532999,7511_75060672436463,7511,75060672436463
23232 CCK/W33_SKF,PO11_PO06131335370,PO11,PO06131335370,7511_75060672436463,7511,75060672436463
23224 CCK/W33_SKF,7560_75060673524999,7560,75060673524999,PO11_PO06131335385,PO11,PO06131335385
23224 CCK/W33_SKF,7560_75060673524999,7560,75060673524999,7511_75060672433460,7511,75060672433460
23224 CCK/W33_SKF,PO11_PO06131335385,PO11,PO06131335385,7511_75060672433460,7511,75060672433460
23022 CC/W33_SKF,7560_75060673322212,7560,75060673322212,PO11_PO06131335386,PO11,PO06131335386
23022 CC/W33_SKF,7560_75060673322212,7560,75060673322212,7511_75060672249415,7511,75060672249415
23022 CC/W33_SKF,PO11_PO06131335386,PO11,PO06131335386,7511_75060672249415,7511,75060672249415
30212_SKF,7813_78060677012241,7813,78060677012241,PO11_PO06131335505,PO11,PO06131335505
30215_SKF,7812_78060677215561,7812,78060677215561,PO11_PO06131335506,PO11,PO06131335506
32310_SKF,7811_78060676910000,7811,78060676910000,PO11_PO06131335526,PO11,PO06131335526
32315_SKF,7811_78060677058931,7811,78060677058931,PO11_PO06131335531,PO11,PO06131335531
31310/CL7C_SKF,7813_78060677020241,7813,78060677020241,PO11_PO06131335543,PO11,PO06131335543
31312_SKF,7813_78060676201241,7813,78060676201241,PO11_PO06131335544,PO11,PO06131335544
31305_SKF,7560_75060678105243,7560,75060678105243,PO11_PO06131335545,PO11,PO06131335545
31305_SKF,7560_75060678105243,7560,75060678105243,7511_75060674010795,7511,75060674010795
31305_SKF,7560_75060678105243,7560,75060678105243,PO21_PO06131335613,PO21,PO06131335613
31305_SKF,PO11_PO06131335545,PO11,PO06131335545,7511_75060674010795,7511,75060674010795
31305_SKF,PO11_PO06131335545,PO11,PO06131335545,PO21_PO06131335613,PO21,PO06131335613
31305_SKF,7511_75060674010795,7511,75060674010795,PO21_PO06131335613,PO21,PO06131335613
30206_SKF,7560_75060677906245,7560,75060677906245,PO11_PO06131335555,PO11,PO06131335555
30203_SKF,7813_78060675705142,7813,78060675705142,PO11_PO06131335556,PO11,PO06131335556
32005 X/Q_SKF,7560_75060678105244,7560,75060678105244,PO11_PO06131335557,PO11,PO06131335557
32316 J2_SKF,7813_78060676262252,7813,78060676262252,PO11_PO06131335602,PO11,PO06131335602
31311_SKF,7813_78060676201245,7813,78060676201245,PO11_PO06131335615,PO11,PO06131335615
T2ED 045_SKF,K011_K0060616505110,K011,K0060616505110,PO11_PO06131336102,PO11,PO06131336102
8V-2240_OPTIBELT,7560_75060768225248,7560,75060768225248,PO11_PO06131392502,PO11,PO06131392502
8V-2240_OPTIBELT,7560_75060768225248,7560,75060768225248,7511_75060755482000,7511,75060755482000
8V-2240_OPTIBELT,7560_75060768225248,7560,75060768225248,7580_75060768225744,7580,75060768225744
8V-2240_OPTIBELT,PO11_PO06131392502,PO11,PO06131392502,7511_75060755482000,7511,75060755482000
8V-2240_OPTIBELT,PO11_PO06131392502,PO11,PO06131392502,7580_75060768225744,7580,75060768225744
8V-2240_OPTIBELT,7511_75060755482000,7511,75060755482000,7580_75060768225744,7580,75060768225744
5V-1900_OPTIBELT,7811_78060772006000,7811,78060772006000,PO11_PO06131392529,PO11,PO06131392529
A-50_MITSUBOSHI,7560_75060760050999,7560,75060760050999,PO11_PO06131392616,PO11,PO06131392616
SPB-4000_MITSUBOSHI,7560_75060767400210,7560,75060767400210,PO11_PO06131393211,PO11,PO06131393211
SPB-6300_MITSUBOSHI,7560_75060767763234,7560,75060767763234,PO11_PO06131393222,PO11,PO06131393222
SPB-3750_MITSUBOSHI,7812_78060753750582,7812,78060753750582,PO11_PO06131393237,PO11,PO06131393237
1030G20_FALK,7811_78062421530000,7811,78062421530000,PO11_PO06132822616,PO11,PO06132822616
F90_FENNER,7811_78062420095000,7811,78062420095000,PO11_PO06133422509,PO11,PO06133422509
SNL 524-620_SKF,7560_75060657624212,7560,75060657624212,PO11_PO06134761024,PO11,PO06134761024
KM 8_SKF,7560_75065640005008,7560,75065640005008,PO11_PO06135864508,PO11,PO06135864508
KM 8_SKF,7560_75065640005008,7560,75065640005008,7511_75065664008000,7511,75065664008000
KM 8_SKF,PO11_PO06135864508,PO11,PO06135864508,7511_75065664008000,7511,75065664008000
KM 10_SKF,7560_75065640005010,7560,75065640005010,PO11_PO06135864510,PO11,PO06135864510
KM 10_SKF,7560_75065640005010,7560,75065640005010,7511_75065664010000,7511,75065664010000
KM 10_SKF,PO11_PO06135864510,PO11,PO06135864510,7511_75065664010000,7511,75065664010000
KM 12_SKF,7560_75065640005012,7560,75065640005012,PO11_PO06135864512,PO11,PO06135864512
KM 13_SKF,7560_75065640005013,7560,75065640005013,PO11_PO06135864513,PO11,PO06135864513
KM 13_SKF,7560_75065640005013,7560,75065640005013,7511_75065664013000,7511,75065664013000
KM 13_SKF,PO11_PO06135864513,PO11,PO06135864513,7511_75065664013000,7511,75065664013000
KM 14_SKF,7560_75065411014999,7560,75065411014999,PO11_PO06135864514,PO11,PO06135864514
KM 15_SKF,7560_75065411015999,7560,75065411015999,PO11_PO06135864515,PO11,PO06135864515
KM 15_SKF,7560_75065411015999,7560,75065411015999,7511_75065664015000,7511,75065664015000
KM 15_SKF,PO11_PO06135864515,PO11,PO06135864515,7511_75065664015000,7511,75065664015000
KM 18_SKF,7560_75065411018999,7560,75065411018999,PO11_PO06135864518,PO11,PO06135864518
KM 18_SKF,7560_75065411018999,7560,75065411018999,7511_75065664018000,7511,75065664018000
KM 18_SKF,PO11_PO06135864518,PO11,PO06135864518,7511_75065664018000,7511,75065664018000
KM 19_SKF,7560_75065411019999,7560,75065411019999,PO11_PO06135864519,PO11,PO06135864519
KM 19_SKF,7560_75065411019999,7560,75065411019999,7511_75065664019000,7511,75065664019000
KM 19_SKF,PO11_PO06135864519,PO11,PO06135864519,7511_75065664019000,7511,75065664019000
KM 20_SKF,7560_75065411020999,7560,75065411020999,PO11_PO06135864520,PO11,PO06135864520
KM 24_SKF,7560_75065411024999,7560,75065411024999,PO11_PO06135864524,PO11,PO06135864524
KM 24_SKF,7560_75065411024999,7560,75065411024999,7511_75065664024000,7511,75065664024000
